floor,point_id,ssid,bssid,rssi_dbm,channel,width_mhz,band,security_string
Second,40,[Hidden],8a:15:04:53:3c:3f,-57.0,11,20,2.4GHz,[WEP][ESS][WEP]
Second,40,Plainsboro-Public-Library,8a:15:04:53:3c:30,-57.0,11,20,2.4GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,8a:15:04:52:23:c0,-57.0,6,20,2.4GHz,[ESS][Unknown]
Second,40,[Hidden],8a:15:04:53:33:9f,-60.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,40,Plainsboro-Public-Library,8a:15:04:53:33:90,-61.0,6,20,2.4GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,8a:15:04:53:49:40,-61.0,6,20,2.4GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,8a:15:14:53:49:70,-63.0,157,40,5GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,8a:15:14:52:23:c0,-64.0,153,20,5GHz,[ESS][Unknown]
Second,40,[Hidden],8a:15:14:53:49:7f,-65.0,157,40,5GHz,[WEP][ESS][WEP]
Second,40,[Hidden],8a:15:14:53:33:9f,-66.0,36,80,5GHz,[WEP][ESS][WEP]
Second,40,Plainsboro-Public-Library,8a:15:14:53:33:90,-67.0,36,80,5GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-68.0,6,20,2.4GHz,[ESS][Unknown]
Second,40,[Hidden],8a:15:14:53:3c:3f,-69.0,108,80,5GHz,[WEP][ESS][WEP]
Second,40,Plainsboro-Public-Library,8a:15:14:53:3c:30,-70.0,108,80,5GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,8a:15:14:53:49:40,-74.0,48,80,5GHz,[ESS][Unknown]
Second,40,Plainsboro-Public-Library,e2:55:6d:bc:13:60,-75.0,108,80,5GHz,[ESS][Unknown]
Second,40,Link,a0:04:60:c4:40:b3,-76.0,3,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,40,CP1300-938B59,f8:a2:6d:93:8b:59,-78.0,2,20,2.4GHz,[ESS][Unknown]
Second,40,DIRECT-B1-HP PageWide Pro 477dw,4a:ba:4e:fb:f7:b1,-80.0,6,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,40,Verizon_44LJJS,78:67:0e:a4:12:bb,-81.0,11,40,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS][WPA2 Personal]
Second,40,ASUS17,7c:10:c9:a4:fc:a0,-90.0,9,20,2.4GHz,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPA2 Personal]
Second,41,Plainsboro-Public-Library,8a:15:04:51:e6:20,-41.0,1,20,2.4GHz,[ESS][Unknown]
